"RELEASE_NUMBER","INTERVIEW_ID","AGE","OCC_2010","HOURLY.REGULAR.RATE","YRS.PRES.EMP","WAGES","WTR.GRADUATED","YR.WRKED.FULLTIME","WORK.WEEKS","TOTAL.HOURS","COMPLETED.ED","SEX_1","SEX_2","RACE_1","RACE_2","RACE_3","RACE_4","RACE_5","RACE_7","RACE_9","CURRENT.REGION_1","CURRENT.REGION_2","CURRENT.REGION_3","CURRENT.REGION_4","CURRENT.REGION_5","CURRENT.REGION_6","YEAR_2017","YEAR_2019","occupation_des","soc_code"
2,4352,50,0,0,0,0,2,1,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,7142,38,9130,0,2,70000,2,12,51,3570,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,7513,37,7210,17,3,40000,2,1,42,2100,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,7058,36,8210,18.45,9,35000,2,5,48,1908,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,7986,28,6320,23,1,46000,3,11,52,2477,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,4413,26,3930,10.6,3,15500,1,4,52,2008,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,7038,26,4010,9.6,5,18816,2,1,49,1980,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4717,58,8030,22.5,4,40000,1,8,51,2060,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,4632,62,4760,12.59,9,19000,1,20,51,2158,13,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,7626,54,4760,12,3,35000,1,21,51,2550,13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,4675,80,0,0,0,0,3,25,0,0,11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,6553,52,0,0,0,0,1,29,0,0,12,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,9312,41,0,0,0,0,3,5,0,0,10,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,6266,24,4060,0,0,6074,3,1,52,2072,10,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,7132,24,4110,2.13,2,11000,2,0,52,1820,12,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,4917,29,9600,999,3,40000,1,12,50,3600,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,2661,68,800,100,0,0,1,18,49,1960,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
