"RELEASE_NUMBER","INTERVIEW_ID","AGE","OCC_2010","HOURLY.REGULAR.RATE","YRS.PRES.EMP","WAGES","WTR.GRADUATED","YR.WRKED.FULLTIME","WORK.WEEKS","TOTAL.HOURS","COMPLETED.ED","SEX_1","SEX_2","RACE_1","RACE_2","RACE_3","RACE_4","RACE_5","RACE_7","RACE_9","CURRENT.REGION_1","CURRENT.REGION_2","CURRENT.REGION_3","CURRENT.REGION_4","CURRENT.REGION_5","CURRENT.REGION_6","YEAR_2017","YEAR_2019","occupation_des","soc_code"
2,6974,23,1860,0,0,8000,1,0,17,336,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Miscellaneous social scientists and related workers","19-3090"
2,4468,57,1430,0,26,160000,1,2,50,2100,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Industrial engineers, including health and safety","17-2110 "
2,84,57,1540,0,0,63243,1,25,40,1800,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Drafters","17-3010 "
2,2635,36,300,0,10,131270,1,4,49,2050,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Architectural and engineering managers","11-9041"
2,324,25,1950,0,4,24000,1,0,50,1750,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Social science research assistants","19-4061"
2,2362,46,110,0,16,128000,1,3,48,2400,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Computer and information systems managers","11-3021"
2,3254,43,110,0,20,130000,1,0,52,2340,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Computer and information systems managers","11-3021"
2,3028,43,1010,0,8,72500,1,22,48,1920,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Computer programmers","15-1131 "
2,4872,36,1050,0,3,80000,1,1,49,1960,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer support specialists","15-1150  "
2,870,41,1965,37.5,18,96000,1,0,48,2256,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Miscellaneous life, physical, and social science technicians","19-4090"
2,1561,30,1740,0,1,64000,1,1,50,2141,17,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Environmental scientists and geoscientists","19-2040 "
2,363,64,110,0,0,154000,1,11,45,1788,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer and information systems managers","11-3021"
2,2920,38,1105,0,14,143000,1,9,49,2450,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Network and computer systems administrators","15-1142  "
2,3806,33,1460,0,5,20000,1,2,9,366,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Mechanical engineers","17-2141 "
2,4853,28,1010,0,2,82000,1,1,49,1968,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer programmers","15-1131 "
2,2693,44,1820,0,5,0,1,7,50,2000,17,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"Psychologists","19-3030 "
2,2287,32,1720,25,9,55000,1,1,51,2277,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Chemists and materials scientists","19-2030 "
2,5525,36,1650,0,2,69000,1,11,49,1960,17,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Medical scientists","19-1040 "
2,8347,34,1460,0,11,80000,1,4,48,1920,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Mechanical engineers","17-2141 "
2,1339,47,1106,0,14,62300,1,1,47,1888,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer network architects ","15-1143  "
2,1500,22,1350,0,0,19650,1,1,35,1562,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Chemical engineers","17-2041 "
2,4000,30,1050,0,1,96000,1,8,50,3200,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Computer support specialists","15-1150  "
2,7729,33,1010,0,0,45000,2,3,52,2080,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer programmers","15-1131 "
2,8800,41,1020,90,0,95000,1,23,47,1896,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,9221,53,1550,30.87,32,72000,1,35,42,1751,14,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,"Engineering technicians, except drafters","17-3020 "
2,2119,40,1340,0,16,91000,1,2,48,2400,16,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,"Biomedical engineers","17-2031"
2,3164,40,1610,0,16,80000,1,21,50,2800,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Biological scientists","19-1020 "
2,1297,42,1060,27.69,15,52683,1,3,48,1912,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Database administrators","15-1141 "
2,4658,52,1200,0,30,148000,1,1,45,2007,16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Actuaries","15-2011 "
2,6354,38,1050,0,13,80000,1,2,49,1944,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer support specialists","15-1150  "
2,4905,41,1350,0,4,95000,1,2,41,2050,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Chemical engineers","17-2041 "
2,3590,60,1460,0,2,98900,1,11,52,2860,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Mechanical engineers","17-2141 "
2,508,58,1460,0,16,121000,1,1,50,2500,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Mechanical engineers","17-2141 "
2,263,56,1430,0,27,120000,1,0,46,2530,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Industrial engineers, including health and safety","17-2110 "
2,9574,48,1020,0,0,73000,1,1,51,2040,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,4560,55,1720,0,16,175000,1,2,46,2508,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Chemists and materials scientists","19-2030 "
2,1073,41,1430,0,2,130000,1,5,45,2475,17,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Industrial engineers, including health and safety","17-2110 "
2,7091,35,1107,0,10,135000,1,6,45,2250,16,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Computer occupations, all other","15-1199"
2,7207,60,110,0,0,140000,1,9,47,2120,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Computer and information systems managers","11-3021"
2,7475,49,4930,0,13,105000,1,29,48,1920,14,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Sales engineers","41-9031"
2,5817,30,1360,35,2,60000,1,2,52,2600,17,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Civil engineers","17-2051 "
2,1688,66,1030,0,0,75000,1,12,52,2080,16,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"Web developers","15-1134"
2,946,54,1700,0,26,213000,2,22,49,1960,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Astronomers and physicists","19-2010 "
2,5121,46,300,0,2,109000,1,23,48,2410,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Architectural and engineering managers","11-9041"
2,200,35,1020,0,5,130000,1,2,47,1880,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Software developers, applications and systems software","15-113X  "
2,9506,30,1060,0,6,70000,1,3,48,1920,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Database administrators","15-1141 "
2,2669,44,1820,0,12,59675,1,3,47,1801,17,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Psychologists","19-3030 "
2,3115,38,1815,0,6,101000,1,3,49,1960,16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Survey researchers","19-3022 "
2,945,36,1030,0,11,86000,1,16,50,2500,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Web developers","15-1134"
2,1272,26,1430,0,7,93000,1,1,48,2400,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Industrial engineers, including health and safety","17-2110 "
2,7112,50,1010,0,20,195000,1,32,43,1720,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Computer programmers","15-1131 "
2,4534,55,1060,0,30,136000,1,12,50,2700,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Database administrators","15-1141 "
