ER72001,ER72002,ER72017,ER72018,ER72195,ER72217,ER72231,ER73069,ER76897,ER76962,ER77249,ER77255,ER77588,ER77591,ER77599
1,3257,58,1,110,0,2,168000,1,1,49,2187,101020,2,15
1,3422,29,2,3640,26,1,47000,1,1,52,2092,34010,2,14
1,5960,48,1,4250,0,0,300,1,21,5,28,10275.89,3,9
1,5483,21,2,4230,8.5,0,5000,1,1,51,2056,27820,3,12
1,8531,39,1,0,0,0,0,1,1,0,0,18109.01,3,11
1,8488,34,1,9000,0,0,0,1,3,47,2820,130056.95,3,12
1,4755,56,1,4220,0,7,12000,2,35,52,1664,13500.18,3,9
1,2869,50,1,0,0,0,0,1,1,0,0,10456,3,11
1,5353,81,1,9140,0,0,38000,2,38,52,1820,51504,1,12
1,5084,58,2,9620,0,0,16000,2,20,31,248,14957.62,1,14
1,7998,40,2,8920,15,10,42000,2,2,52,2912,33011.31,1,13
1,8961,30,1,9130,15,2,40000,2,9,51,4096,46518.88,1,12
1,1094,85,2,0,0,0,0,2,19,0,0,24087.75,2,16
1,4391,47,2,0,0,0,0,1,1,0,0,17649.24,4,12
1,3877,27,1,7000,16,0,24000,1,3,52,2340,32706,4,13
1,3927,25,2,4110,10.5,5,40000,3,0,49,3430,27930,4,11
1,3984,82,1,0,0,0,0,3,43,0,0,34100,4,12
1,1007,52,1,1020,0,5,250000,1,0,48,2410,100450,3,17
1,2198,30,2,3255,22,12,48000,1,2,50,2000,19457.74,3,16
1,2551,27,1,2720,0,0,20000,1,3,52,2670,16830,4,14
1,1562,57,1,5510,0,0,31000,1,2,49,1960,55727,3,17
1,6897,67,1,40,0,0,250000,1,29,43,2382,110851.76,2,17
1,6428,62,1,0,0,0,0,1,12,0,0,18559,2,16
1,6178,72,2,0,0,0,0,1,6,0,0,86284,4,17
1,6472,45,1,840,0,5,128500,1,1,50,2259,206800,4,16
1,7546,31,2,4840,0,0,65000,1,1,49,2187,77680,2,16
1,8027,24,1,50,0,0,9999999,1,6,50,2520,34370,4,13
1,7549,39,1,735,0,0,9999999,1,10,49,2214,137428.55,4,17
1,7357,42,1,300,0,8,250000,1,19,51,2540,163960,4,14
1,9604,36,1,840,0,0,2000000,1,7,47,2585,199204.26,1,16
1,4944,40,1,10,0,0,250000,1,15,49,2940,138146.49,1,17
1,2923,75,1,9120,17.3,6,10000,1,24,16,163,83834,1,12
1,2964,50,1,6730,30.5,4,80000,1,8,50,2218,57695,1,12
1,3417,46,1,8620,31.52,5,74000,1,17,49,2072,84122,1,12
1,2580,67,1,0,0,0,0,1,30,0,0,58854,3,14
1,1261,54,2,9640,15,1,16000,1,23,31,1276,17850,1,13
1,1220,56,1,9130,15.75,1,45000,1,1,51,2497,69376.66,1,15
1,911,72,1,0,0,0,0,1,20,0,0,63435,3,16
1,738,36,1,5520,33.11,2,59000,1,3,49,1990,104740,2,16
1,495,46,1,4850,0,1,140000,1,7,49,2205,109200,3,16
1,846,69,1,0,0,0,0,1,15,0,0,72140,3,16
1,228,42,1,2200,0,12,80000,1,7,51,2040,44470,3,17
1,658,35,1,7000,0,6,57500,1,4,50,2250,48349,3,16
1,1021,33,1,910,31.5,7,62400,1,8,49,1968,50858,2,16
1,944,42,1,50,0,11,209000,1,8,48,2662,81706,3,17
1,5060,47,1,7810,18.1,28,67000,1,4,47,3182,66165.22,2,12
1,6664,40,2,4220,12.04,0,37000,9,1,50,2621,24140,4,16
1,9050,23,2,4050,8.5,3,2500,1,0,21,642,9830,2,13
1,8802,72,2,4230,15,0,500,1,7,12,36,31337.09,2,14
1,7865,39,1,4010,0,0,45000,1,99,52,2080,61080,2,14
1,9012,45,1,7210,15,3,35000,1,21,50,3472,30170,2,99
1,807,35,1,3700,19.25,2,38000,1,0,49,2056,27170,2,15
1,698,32,1,910,0,6,80000,1,1,48,2160,80690,2,16
1,659,29,1,6355,26,2,69175,1,5,50,3012,38480,2,14
1,726,28,1,205,0,0,0,1,2,50,3250,45130,2,16
1,635,66,1,6050,21,18,50000,1,14,51,2040,30329,2,12
1,1310,62,1,9600,16.25,5,48000,1,10,50,2000,42404.13,2,12
1,1088,51,1,9130,0,0,36000,1,22,50,3250,42820,2,10
1,682,37,1,4010,12,14,30000,1,5,52,2028,40120,2,14
1,703,41,1,3730,0,16,89000,1,11,46,1945,78494,2,12
